<Mach-1 File>
<INFO>
Date:	Wed, Jun 22, 2022
Time:	09:59:40.037
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.995755
Load Cell Offset:	-5.015000
Load Cell Calibration Date:	2022-06-22
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-0.9400
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-0.939500	-0.013692
0.010000	-0.939500	-0.013692
0.020000	-0.939500	-0.014936
0.030000	-0.939500	-0.014936
0.040000	-0.939500	-0.014936
0.050000	-0.939500	-0.014936
0.060000	-0.939500	-0.014936
0.070000	-0.939500	-0.014936
0.080000	-0.939500	-0.013692
0.090000	-0.939500	-0.014936
0.100000	-0.939500	-0.013692
0.110000	-0.939500	-0.013692
0.120000	-0.939500	-0.013692
0.130000	-0.939500	-0.012447
0.140000	-0.939500	-0.014936
0.150000	-0.939500	-0.013692
0.160000	-0.939500	-0.014936
0.170000	-0.939500	-0.013692
0.180000	-0.939500	-0.013692
0.190000	-0.939500	-0.014936
0.200000	-0.939500	-0.013692
0.210000	-0.939500	-0.013692
0.220000	-0.939500	-0.012447
0.230000	-0.939500	-0.013692
0.240000	-0.939500	-0.014936
0.250000	-0.939500	-0.014936
0.260000	-0.939500	-0.013692
0.270000	-0.939500	-0.012447
0.280000	-0.939500	-0.013692
0.290000	-0.939500	-0.013692
0.300000	-0.939500	-0.016181
0.310000	-0.939500	-0.014936
0.320000	-0.939500	-0.013692
0.330000	-0.939500	-0.013692
0.340000	-0.939500	-0.013692
0.350000	-0.939500	-0.014936
0.360000	-0.939500	-0.013692
0.370000	-0.939500	-0.013692
0.380000	-0.939500	-0.013692
0.390000	-0.939500	-0.013692
0.400000	-0.939500	-0.016181
0.410000	-0.939500	-0.014936
0.420000	-0.939500	-0.014936
0.430000	-0.939500	-0.013692
0.440000	-0.939500	-0.013692
0.450000	-0.939500	-0.014936
0.460000	-0.939600	-0.013692
0.470000	-0.939600	-0.014936
0.480000	-0.939600	-0.013692
0.490000	-0.939700	-0.012447
0.500000	-0.939700	-0.014936
0.510000	-0.939800	-0.014936
0.520000	-0.939800	-0.013692
0.530000	-0.939900	-0.013692
0.540000	-0.939900	-0.014936
0.550000	-0.939900	-0.013692
0.560000	-0.940000	-0.014936
0.570000	-0.940000	-0.013692
0.580000	-0.940000	-0.014936
0.590000	-0.940000	-0.013692
0.600000	-0.940000	-0.013692
0.610000	-0.940100	-0.014936
0.620000	-0.940100	-0.012447
0.630000	-0.940100	-0.013692
0.640000	-0.940100	-0.014936
0.650000	-0.940100	-0.014936
0.660000	-0.940100	-0.014936
0.670000	-0.940100	-0.013692
0.680000	-0.940100	-0.016181
0.690000	-0.940100	-0.013692
0.700000	-0.940100	-0.013692
0.710000	-0.940100	-0.014936
0.720000	-0.940100	-0.014936
0.730000	-0.940100	-0.014936
0.740000	-0.940100	-0.013692
0.750000	-0.940100	-0.014936
0.760000	-0.940100	-0.014936
0.770000	-0.940100	-0.014936
0.780000	-0.940100	-0.014936
0.790000	-0.940100	-0.013692
0.800000	-0.940100	-0.013692
0.810000	-0.940100	-0.012447
0.820000	-0.940100	-0.013692
0.830000	-0.940100	-0.012447
0.840000	-0.940100	-0.014936
0.850000	-0.940100	-0.014936
0.860000	-0.940100	-0.013692
0.870000	-0.940100	-0.013692
0.880000	-0.940100	-0.013692
0.890000	-0.940100	-0.016181
0.900000	-0.940100	-0.013692
0.910000	-0.940100	-0.013692
0.920000	-0.940100	-0.012447
0.930000	-0.940100	-0.013692
0.940000	-0.940100	-0.014936
0.950000	-0.940100	-0.013692
0.960000	-0.940100	-0.014936
0.970000	-0.940100	-0.013692
0.980000	-0.940100	-0.013692
0.990000	-0.940100	-0.013692
1.000000	-0.940100	-0.013692
1.010000	-0.940100	-0.013692
1.020000	-0.940100	-0.013692
1.030000	-0.940100	-0.014936
1.040000	-0.940100	-0.012447
1.050000	-0.940100	-0.013692
1.060000	-0.940100	-0.013692
1.070000	-0.940100	-0.013692
1.080000	-0.940100	-0.014936
1.090000	-0.940100	-0.013692
1.100000	-0.940100	-0.014936
1.110000	-0.940100	-0.013692
1.120000	-0.940100	-0.014936
1.130000	-0.940100	-0.014936
1.140000	-0.940100	-0.013692
1.150000	-0.940100	-0.014936
1.160000	-0.940100	-0.013692
1.170000	-0.940100	-0.014936
1.180000	-0.940100	-0.013692
1.190000	-0.940100	-0.014936
<END DATA>
<INFO>
Date:	Wed, Jun 22, 2022
Time:	09:59:41.237
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.995755
Load Cell Offset:	-5.015000
Load Cell Calibration Date:	2022-06-22
<END INFO>
<Zero Load>
Function without controls
<DATA>
